Target affinity,Target qeds,Predicted logps,Predicted qeds,Predicted sas,Predicted tpsas,Predicted affinity,key
-9.0,0.4,3.4963000000000015,0.6645237717594787,3.3102482311668284,106.66,-9.1,-9_0.4
-9.0,0.4,7.321500000000008,0.418593952613315,5.104242969671918,55.4,-8.7,-9_0.4
-9.0,0.4,5.6608000000000045,0.5544857838306548,2.5677850786102834,40.510000000000005,-9.4,-9_0.4
-9.0,0.4,6.312100000000005,0.2979814039124342,1.9023862923141035,43.370000000000005,-8.4,-9_0.4
-9.0,0.4,5.216940000000004,0.5112493354234481,1.8750655073159237,88.69000000000001,-9.3,-9_0.4
-9.0,0.4,5.168200000000004,0.40240498562764215,2.8956509798625323,79.37,-9.2,-9_0.4
-9.0,0.4,3.227100000000002,0.5328300705040274,2.1268675446626624,78.25999999999999,-8.7,-9_0.4
-9.0,0.4,4.451020000000003,0.2724242189816687,2.5576432436037315,84.30000000000001,-9.4,-9_0.4
-9.0,0.4,4.190820000000002,0.4073672723280255,2.4609573218628586,98.98,-8.3,-9_0.4
-9.0,0.4,4.7622000000000035,0.4451891583314073,2.389469137633295,85.32,-9.5,-9_0.4
-9.0,0.4,6.477200000000006,0.45787959731729,3.3033419374763477,58.18000000000001,-8.8,-9_0.4
-9.0,0.4,7.118600000000007,0.4369302854947339,3.814579763287992,47.040000000000006,-8.6,-9_0.4
-9.0,0.4,5.077400000000003,0.36467899736341053,3.6093377721461852,93.74000000000001,-9.3,-9_0.4
-9.0,0.4,5.347720000000004,0.4245831597567997,2.3466675750248474,86.48,-8.5,-9_0.4
-9.0,0.4,4.832340000000005,0.4880687487754718,2.451507069782334,92.51,-8.8,-9_0.4
-9.0,0.4,5.878700000000005,0.47558529578439607,3.0346786297253754,65.46000000000001,-9.0,-9_0.4
-9.0,0.4,4.213900000000003,0.37956831789933587,2.1757091397124046,119.51,-9.1,-9_0.4
-9.0,0.4,2.730200000000001,0.4004322563401869,3.137439960602441,108.96000000000001,-9.5,-9_0.4
-9.0,0.4,5.495370000000005,0.3705058443585496,2.118095006490835,49.870000000000005,-8.7,-9_0.4
-9.0,0.4,4.649500000000004,0.2825135647593083,4.12921858439797,110.76000000000002,-9.1,-9_0.4
-9.0,0.4,2.5357000000000003,0.38802083813602706,2.6847931183871943,123.22,-8.5,-9_0.4
-9.0,0.4,4.611740000000005,0.36638929713168167,2.431622843729036,111.24000000000001,-9.1,-9_0.4
-9.0,0.4,5.7337400000000045,0.38681578488466123,2.3667035484160035,64.74000000000001,-9.4,-9_0.4
-9.0,0.4,5.060120000000005,0.4207943805104059,2.8556724210921356,80.56,-8.3,-9_0.4
-9.0,0.4,3.058600000000001,0.6026087828113715,3.348974056785609,57.28,-9.0,-9_0.4
-9.0,0.4,3.8355000000000024,0.46882175180417734,3.2923621591371415,97.50999999999999,-9.2,-9_0.4
-9.0,0.4,4.210920000000003,0.41172330513165284,2.8897607020161455,96.66,-9.2,-9_0.4
-9.0,0.4,5.747500000000003,0.4346760691462306,2.4562103008859424,30.21,-7.9,-9_0.4
-9.0,0.4,4.399100000000004,0.3030922241796701,2.80814599626917,105.66,-8.6,-9_0.4
-9.0,0.4,4.299820000000004,0.4001369043257993,2.2743221790013592,90.58000000000001,-8.3,-9_0.4
-9.0,0.4,5.655300000000004,0.3805856329190531,2.457315706983632,63.07000000000001,-9.0,-9_0.4
-9.0,0.4,4.853900000000004,0.3816657789845215,2.5709021679278514,79.1,-9.0,-9_0.4
-9.0,0.4,3.703140000000003,0.4183662994231962,2.5113543945311747,90.16000000000001,-7.6,-9_0.4
-9.0,0.4,5.796620000000006,0.28351281241030907,2.914423175349649,72.96000000000001,-10.4,-9_0.4
-9.0,0.4,5.591900000000005,0.3908911606214324,2.763731783231716,54.43000000000001,-9.6,-9_0.4
-9.0,0.4,2.7571600000000007,0.3944249250691361,2.4458189578942235,108.11000000000001,-9.1,-9_0.4
-9.0,0.4,5.018600000000004,0.359736991667462,2.3701732569365817,61.94,-9.3,-9_0.4
-9.0,0.4,5.744700000000004,0.37274322847884783,2.2940203841907003,74.58000000000001,-9.7,-9_0.4
-9.0,0.4,4.934400000000003,0.5819149770214017,2.4304436382262047,41.57,-9.5,-9_0.4
-9.0,0.4,4.698200000000004,0.30122017302417037,3.1519372513885777,114.47,-9.1,-9_0.4
-9.0,0.4,6.739800000000005,0.40749244062489964,3.971116210137315,6.48,,-9_0.4
-9.0,0.4,4.733820000000003,0.4739519832668313,2.3037310105899564,88.1,-8.2,-9_0.4
-9.0,0.4,4.230500000000003,0.5596056524395993,2.2670186972199833,85.25,-9.2,-9_0.4
-9.0,0.4,5.009420000000007,0.354642658811276,3.2903697305930866,82.69000000000001,-9.3,-9_0.4
-9.0,0.4,4.440800000000003,0.3721067033524571,2.049469963126782,101.57,-8.5,-9_0.4
-9.0,0.4,4.567500000000003,0.5108278835593892,2.3258417326968512,82.30000000000001,-8.2,-9_0.4
-9.0,0.4,2.48567,0.5270124866093491,3.546839018287712,89.70000000000002,,-9_0.4
-9.0,0.4,5.2023000000000055,0.33045160215283387,4.209366839135318,89.17999999999999,-9.4,-9_0.4
-9.0,0.4,4.9242000000000035,0.4694548442690119,2.2699599764662803,84.85000000000001,-9.1,-9_0.4
-9.0,0.4,4.537920000000003,0.275881026028834,2.482165044662663,85.09,-9.7,-9_0.4
-9.0,0.4,5.148500000000004,0.42608657862360444,2.837974939410312,47.14,-8.7,-9_0.4
